labelId,labelName,samples,avgResponseTime,90line,95line,99line,minResponseTime,maxResponseTime,avgLatency,stDev,duration,avgBytes,avgThroughput,medianResponseTime,errorsCount,errorsRate,hasLabelPassedThresholds
ALL,ALL,40000,284,435,461,699,202,1710,284,310,141,92.255,283.688,0,0,0,
b21b4b41374e02b0dc2e98f304fc3208,http://35.247.218.115/billing,10000,228,246,283,475,203,1341,228,239,141,21.401,70.922,0,0,0,
b8e037e268ea1b459868817a4553bcac,http://35.247.218.115/client,10000,227,246,282,448,202,1442,227,236,141,23.618,70.922,0,0,0,
928973d5696db5329681f1aac0e26562,http://35.247.218.115/fee,10000,226,246,279,421,202,1299,226,233,141,23.618,70.922,0,0,0,
793c2a552bf18aafbb4a44a6d1f44871,http://35.247.218.115/orden,10000,455,497,564,1081,405,1710,455,466,141,23.618,70.922,0,0,0,
