label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://35.247.218.115/orden,0.22681,0.45501,0.45502,3410047,4,0,0.46657,10000,10000,0.40500,0.42900,0.49700,0.56400,1.08100,1.46100,1.71000,10000
,0.05675,0.28454,0.28454,13320080,2,0,0.31047,40000,40000,0.20200,0.21800,0.43500,0.46100,0.69900,1.43500,1.71000,40000
http://35.247.218.115/billing,0.00000,0.22898,0.22899,3090016,2,0,0.23917,10000,10000,0.20300,0.21400,0.24600,0.28300,0.47500,0.93600,1.34100,10000
http://35.247.218.115/client,0.00002,0.22758,0.22759,3410006,2,0,0.23646,10000,10000,0.20200,0.21400,0.24600,0.28200,0.44800,0.96100,1.44200,10000
http://35.247.218.115/fee,0.00016,0.22657,0.22657,3410011,1,0,0.23386,10000,10000,0.20200,0.21400,0.24600,0.27900,0.42100,0.93400,1.29900,10000
