label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://35.247.218.115/orden,0.23126,0.46382,0.46382,4059687,2,0,0.50146,10000,10000,0.39500,0.41700,0.51100,0.73500,1.43900,2.77200,3.23000,10000
http://35.247.218.115/billing,0.00048,0.23232,0.23233,3739692,2,0,0.25782,10000,10000,0.19700,0.20800,0.24000,0.35900,0.65100,1.47300,1.77200,10000
http://35.247.218.115/client,0.00123,0.23009,0.23009,4059658,2,0,0.24816,10000,10000,0.19700,0.20800,0.24500,0.37700,0.60600,1.13200,1.86500,10000
,0.05862,0.28878,0.28879,15269063,1,0,0.33176,40000,40000,0.19700,0.21100,0.42300,0.45800,0.99400,1.74000,3.23000,40000
http://35.247.218.115/fee,0.00153,0.22889,0.22890,3410026,1,0,0.24631,10000,10000,0.19700,0.20800,0.24100,0.34700,0.60200,1.27700,1.54300,10000
