label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200,rc_429
http://35.247.218.115/orden,0.20805,0.41644,0.41644,3664570,5,4046,0.41855,5954,10000,0.39400,0.41300,0.42500,0.42900,0.45000,1.41400,1.45300,5954,4046
,0.05201,0.25999,0.26000,14465443,1,16213,0.27667,23787,40000,0.19600,0.20800,0.41600,0.42100,0.43200,0.82700,1.45300,23787,16213
http://35.247.218.115/billing,0.00000,0.20823,0.20823,3473238,3,4059,0.20970,5941,10000,0.19700,0.20700,0.21300,0.21500,0.22700,0.84600,0.89100,5941,4059
http://35.247.218.115/client,0.00000,0.20756,0.20756,3663447,1,4058,0.20830,5942,10000,0.19600,0.20600,0.21200,0.21500,0.22700,0.39600,0.83200,5942,4058
http://35.247.218.115/fee,0.00000,0.20773,0.20774,3664188,1,4050,0.20874,5950,10000,0.19600,0.20600,0.21200,0.21500,0.22800,0.75900,0.79800,5950,4050
