label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://34.95.136.252/orden,0.20742,0.41623,0.41624,3410009,2,0,0.41649,10000,10000,0.39500,0.41400,0.42600,0.43100,0.47800,0.61400,1.42300,10000
http://34.95.136.252/billing,0.00000,0.20838,0.20839,3090004,1,0,0.20840,10000,10000,0.19700,0.20700,0.21400,0.21700,0.24400,0.31000,0.31800,10000
,0.05186,0.26022,0.26023,13320028,1,0,0.27550,40000,40000,0.19700,0.20900,0.41600,0.42100,0.43400,0.60000,1.42300,40000
http://34.95.136.252/client,0.00000,0.20816,0.20817,3410006,1,0,0.20817,10000,10000,0.19700,0.20700,0.21400,0.21700,0.24100,0.31000,0.31700,10000
http://34.95.136.252/fee,0.00000,0.20810,0.20810,3410009,1,0,0.20810,10000,10000,0.19700,0.20700,0.21300,0.21700,0.24000,0.31100,0.31800,10000
