labelId,labelName,samples,avgResponseTime,90line,95line,99line,minResponseTime,maxResponseTime,avgLatency,stDev,duration,avgBytes,avgThroughput,medianResponseTime,errorsCount,errorsRate,hasLabelPassedThresholds
ALL,ALL,40000,342,433,456,1472,202,31952,342,795,189,68.825,211.64,0,0,0,
b21b4b41374e02b0dc2e98f304fc3208,http://35.247.218.115/billing,10000,251,228,260,880,202,15872,251,580,189,15.966,52.91,0,0,0,
b8e037e268ea1b459868817a4553bcac,http://35.247.218.115/client,10000,218,223,231,308,202,7628,218,235,189,17.619,52.91,0,0,0,
928973d5696db5329681f1aac0e26562,http://35.247.218.115/fee,10000,216,222,230,294,202,1459,216,220,189,17.619,52.91,0,0,0,
793c2a552bf18aafbb4a44a6d1f44871,http://35.247.218.115/orden,10000,684,1429,1454,7532,405,31952,684,1445,189,17.62,52.91,0,0,0,
