label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_404,rc_NoHttpResponseException,rc_SocketException
,0.86657,0.79069,3.53070,2213125,60,17552,37.70967,0,17552,0.10200,0.11600,0.23500,0.25800,87.87200,774.14400,944.12800,17395,40,117
http://8b7de198.ngrok.io/order/decree,0.39468,1.02353,2.16928,667204,61,5839,20.93799,0,5839,0.10200,0.11100,0.12900,0.17200,65.72800,299.77600,299.77600,5815,21,3
http://8b7de198.ngrok.io/client,2.02078,0.94416,6.84336,875805,60,5897,58.70261,0,5897,0.20600,0.22400,0.25800,0.30200,130.94400,906.75200,944.12800,5790,,107
http://8b7de198.ngrok.io/fee/payments,0.17003,0.40131,1.53870,670116,63,5816,18.90312,0,5816,0.10200,0.11100,0.12800,0.14700,0.45400,299.77600,299.77600,5790,19,7
