label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://34.95.207.18/orden,0.21250,0.42678,0.42679,3410087,2,0,0.42815,10000,10000,0.40000,0.42100,0.44000,0.45900,0.53900,1.13800,1.67000,10000
http://34.95.207.18/billing,0.00000,0.21412,0.21413,3090008,2,0,0.21634,10000,10000,0.20000,0.21100,0.22100,0.23000,0.28800,0.42900,1.18800,10000
,0.05315,0.26694,0.26695,13320100,1,0,0.28401,40000,40000,0.20000,0.21300,0.42400,0.43100,0.47400,0.87700,1.67000,40000
http://34.95.207.18/client,0.00000,0.21347,0.21347,3410001,1,0,0.21524,10000,10000,0.20000,0.21000,0.22000,0.22700,0.27600,0.88300,0.97900,10000
http://34.95.207.18/fee,0.00008,0.21340,0.21341,3410004,1,0,0.21477,10000,10000,0.20000,0.21000,0.22000,0.22800,0.27600,0.81200,0.94300,10000
