label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://34.95.207.18/orden,0.25802,0.51280,0.51281,3410070,1,0,0.60965,10000,10000,0.40000,0.44000,0.59600,0.80600,1.46800,5.08000,5.93600,10000
http://34.95.207.18/billing,0.00212,0.25912,0.25913,3090017,1,0,0.35195,10000,10000,0.20000,0.22000,0.28600,0.38500,1.02500,4.46800,5.00800,10000
,0.06794,0.32333,0.32334,13320132,1,0,0.43133,40000,40000,0.19900,0.22500,0.45900,0.58100,1.25200,4.78000,5.93600,40000
http://34.95.207.18/client,0.00143,0.26169,0.26169,3410022,1,0,0.36462,10000,10000,0.19900,0.22000,0.28200,0.39200,0.97300,4.47200,5.01200,10000
http://34.95.207.18/fee,0.01020,0.25972,0.25972,3410023,1,0,0.34002,10000,10000,0.20000,0.22000,0.28400,0.41700,0.96900,4.77200,5.01200,10000
