label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200,rc_HttpHostConnectException
http://34.95.136.252/api-order/,3.06996,2.61285,3.31883,7250066,380,111,12.58423,20367,20478,0.39700,0.51900,3.58200,7.90000,65.28000,130.75200,131.07200,20367,111
http://34.95.136.252/api-billing/,0.65883,0.66203,0.90793,6314842,463,38,6.31275,20098,20136,0.19800,0.23700,0.56500,1.70000,7.84000,130.36800,130.43200,20098,38
http://34.95.136.252/api-client/,0.12566,0.36910,0.37561,6843815,482,1,1.66615,20060,20061,0.19700,0.23200,0.34500,0.48500,3.49800,16.02400,130.36800,20060,1
,1.01304,1.01549,1.26246,27246455,463,153,7.23273,80551,80704,0.19700,0.25200,1.46100,3.48800,16.08800,130.30400,131.07200,80551,153
http://34.95.136.252/api-fee/,0.15489,0.38508,0.40468,6837732,379,3,2.45276,20026,20029,0.19800,0.23300,0.36000,0.52200,3.47600,16.15200,130.75200,20026,3
