label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://35.247.218.115/orden,0.22312,0.44681,0.44682,4070043,5,0,0.48088,10000,10000,0.39600,0.41800,0.44000,0.48000,1.45300,2.47600,3.24800,10000
,0.05637,0.27545,0.27545,15960066,4,0,0.31282,40000,40000,0.19800,0.21100,0.42200,0.43100,0.63600,1.81500,3.24800,40000
http://35.247.218.115/billing,0.00061,0.21774,0.21775,3750008,5,0,0.23058,10000,10000,0.19800,0.20900,0.21900,0.23200,0.42200,1.50000,2.41400,10000
http://35.247.218.115/client,0.00073,0.21794,0.21795,4070008,4,0,0.22880,10000,10000,0.19800,0.20900,0.22000,0.23200,0.49800,1.27700,1.97000,10000
http://35.247.218.115/fee,0.00103,0.21930,0.21930,4070007,1,0,0.23362,10000,10000,0.19800,0.20900,0.22000,0.23400,0.52200,1.41900,1.72300,10000
