label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://35.198.59.0/orden,0.24144,0.48146,0.48147,3410106,3,0,0.52327,10000,10000,0.39400,0.42600,0.53800,0.71000,1.44900,2.67400,3.90600,10000
,0.06106,0.30048,0.30049,13320145,1,0,0.34787,40000,40000,0.19700,0.21800,0.44500,0.52000,1.04700,1.68200,3.90600,40000
http://35.198.59.0/billing,0.00048,0.23881,0.23882,3090023,2,0,0.26165,10000,10000,0.19700,0.21200,0.26600,0.32900,0.89300,1.04100,1.45800,10000
http://35.198.59.0/client,0.00091,0.24139,0.24139,3410012,2,0,0.26881,10000,10000,0.19700,0.21200,0.26700,0.33400,0.92200,1.23500,1.44500,10000
http://35.198.59.0/fee,0.00140,0.24027,0.24028,3410004,1,0,0.26350,10000,10000,0.19700,0.21200,0.26800,0.34000,0.86200,1.05600,1.44400,10000
