label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://34.95.153.71//orden,0.53307,0.78690,0.78691,3384842,1,0,1.77576,9926,9926,0.39900,0.45600,1.46000,1.78900,3.60000,7.77600,65.98400,9926
http://34.95.153.71//billing,0.08016,0.33253,0.33254,3065610,9,0,1.58974,9921,9921,0.20000,0.22400,0.36800,0.47200,1.59500,7.63200,66.04800,9921
,0.16250,0.41370,0.41371,13215613,1,0,1.30041,39686,39686,0.19900,0.23200,0.52700,1.02800,3.47800,7.64800,66.04800,39686
http://34.95.153.71//client,0.02634,0.27662,0.27663,3383099,8,0,0.99954,9921,9921,0.19900,0.22300,0.30700,0.42400,0.96300,3.54400,66.04800,9921
http://34.95.153.71//fee,0.01021,0.25852,0.25852,3382062,8,0,0.28797,9918,9918,0.19900,0.22300,0.33000,0.44900,0.90000,1.21100,3.82800,9918
