label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200,rc_HttpHostConnectException
http://68.183.248.193/api-order/,2.85538,2.29535,3.04572,8628516,355,140,12.27334,24161,24301,0.31000,0.37500,3.41600,7.66400,64.76800,130.75200,131.20000,24161,140
http://68.183.248.193/api-billing/,0.47575,0.58626,0.66255,7433130,384,14,4.48980,23914,23928,0.15600,0.18100,0.36800,1.37000,7.62400,65.53600,131.20000,23914,14
http://68.183.248.193/api-client/,0.10274,0.25590,0.28880,8154499,377,6,2.44339,23850,23856,0.15500,0.17900,0.21800,0.28000,1.36300,15.79200,131.20000,23850,6
http://68.183.248.193/api-fee/,0.03108,0.21175,0.21724,8133279,433,1,1.22931,23828,23829,0.15500,0.17800,0.21200,0.23900,0.35600,3.43400,130.68800,23828,1
,0.87541,0.84407,1.06276,32349424,355,161,6.71247,95753,95914,0.15500,0.18800,1.35300,3.36600,15.79200,129.92000,131.20000,95753,161
