label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://34.95.136.252/api-order/,0.22628,0.45407,0.45408,3410102,1,0,0.46012,10000,10000,0.39700,0.44300,0.49000,0.51300,0.58700,1.50200,1.55300,10000
,0.05658,0.28313,0.28313,13320281,1,0,0.30342,40000,40000,0.19800,0.22700,0.45000,0.47000,0.52600,1.21800,1.55300,40000
http://34.95.136.252/api-billing/,0.00000,0.22603,0.22604,3090045,1,0,0.22825,10000,10000,0.19800,0.22100,0.24800,0.26000,0.29600,0.89700,1.09700,10000
http://34.95.136.252/api-client/,0.00000,0.22603,0.22604,3410098,1,0,0.22791,10000,10000,0.19800,0.22100,0.24900,0.26200,0.30000,0.43300,1.05100,10000
http://34.95.136.252/api-fee/,0.00002,0.22637,0.22638,3410036,1,0,0.22897,10000,10000,0.19800,0.22100,0.24800,0.26000,0.30600,0.91900,1.04300,10000
