label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://34.95.167.124/api-order/,0.23046,0.46168,0.46169,3410159,1,0,0.47746,10000,10000,0.39600,0.43600,0.51500,0.59300,1.22200,1.67000,1.98600,10000
,0.05807,0.29013,0.29014,13320475,1,0,0.32023,40000,40000,0.19700,0.22300,0.44300,0.47200,0.75900,1.51000,1.98600,40000
http://34.95.167.124/api-billing/,0.00000,0.23260,0.23261,3090110,1,0,0.24473,10000,10000,0.19800,0.21800,0.25400,0.30100,0.49100,1.11000,1.48300,10000
http://34.95.167.124/api-client/,0.00047,0.23195,0.23196,3410074,1,0,0.24352,10000,10000,0.19700,0.21800,0.25200,0.30000,0.48900,1.21100,1.37900,10000
http://34.95.167.124/api-fee/,0.00136,0.23428,0.23429,3410132,1,0,0.25091,10000,10000,0.19700,0.21800,0.25100,0.29600,0.59600,1.27900,1.92000,10000
