label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://34.95.136.252/orden,0.20903,0.41833,0.41833,3410076,2,0,0.42142,10000,10000,0.39500,0.41300,0.42500,0.43200,0.51300,1.42600,1.45500,10000
,0.05226,0.26063,0.26064,13320087,1,0,0.27793,40000,40000,0.19700,0.20800,0.41600,0.42000,0.43900,0.93000,1.45500,40000
http://34.95.136.252/billing,0.00000,0.20828,0.20829,3090003,2,0,0.20956,10000,10000,0.19700,0.20600,0.21300,0.21600,0.24100,0.44400,1.17900,10000
http://34.95.136.252/client,0.00000,0.20781,0.20781,3410003,1,0,0.20855,10000,10000,0.19700,0.20600,0.21200,0.21500,0.23900,0.45000,0.93000,10000
http://34.95.136.252/fee,0.00000,0.20811,0.20811,3410005,1,0,0.20954,10000,10000,0.19700,0.20600,0.21200,0.21500,0.23700,0.86100,0.93100,10000
