label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200,rc_HttpHostConnectException
http://68.183.248.193/api-order/,2.66701,2.06907,2.85670,8889090,233,151,12.37972,24837,24988,0.31200,0.37300,3.39200,7.54000,64.60800,130.75200,131.00800,24837,151
,0.83123,0.77881,1.02044,33353784,233,183,6.91204,98583,98766,0.15500,0.18900,1.34600,1.41000,15.77600,130.43200,131.00800,98583,183
http://68.183.248.193/api-billing/,0.45476,0.55816,0.64294,7664928,232,16,4.73044,24646,24662,0.15500,0.18200,0.35300,1.35100,7.55600,65.53600,131.00800,24646,16
http://68.183.248.193/api-client/,0.12062,0.25220,0.31073,8415305,271,11,3.09856,24571,24582,0.15600,0.18000,0.22300,0.28800,1.34800,31.80800,131.00800,24571,11
http://68.183.248.193/api-fee/,0.05191,0.21410,0.24076,8384461,276,5,2.02871,24529,24534,0.15600,0.18000,0.21600,0.24600,0.40500,7.48000,130.94400,24529,5
