label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://34.95.136.252/orden,0.22611,0.45659,0.45660,4070236,1,0,0.47405,10000,10000,0.39500,0.42100,0.52700,0.61700,1.10700,1.81900,2.29000,10000
http://34.95.136.252/billing,0.00004,0.23087,0.23088,3750152,1,0,0.24653,10000,10000,0.19700,0.21000,0.26000,0.31500,0.59400,1.16100,1.35100,10000
,0.05685,0.28731,0.28732,15960852,1,0,0.31826,40000,40000,0.19700,0.21600,0.43000,0.47600,0.80300,1.49000,2.29000,40000
http://34.95.136.252/client,0.00052,0.23143,0.23144,4070224,1,0,0.24664,10000,10000,0.19700,0.21000,0.26500,0.31900,0.61100,1.20700,1.27100,10000
http://34.95.136.252/fee,0.00070,0.23037,0.23038,4070240,1,0,0.24241,10000,10000,0.19700,0.21100,0.26600,0.32300,0.51100,1.15300,1.27100,10000
