label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://34.95.167.124/api-order/,0.22076,0.44455,0.44456,3410199,1,0,0.44608,10000,10000,0.39500,0.43600,0.48600,0.52500,0.62600,0.72600,0.78100,10000
,0.05519,0.27854,0.27854,13320576,1,0,0.29580,40000,40000,0.19800,0.22300,0.44100,0.45600,0.53900,0.68500,0.78100,40000
http://34.95.167.124/api-billing/,0.00000,0.22312,0.22313,3090141,1,0,0.22413,10000,10000,0.19800,0.21800,0.24400,0.26400,0.32200,0.42900,0.50300,10000
http://34.95.167.124/api-client/,0.00000,0.22335,0.22336,3410122,1,0,0.22453,10000,10000,0.19800,0.21800,0.24300,0.26600,0.34000,0.43000,0.45900,10000
http://34.95.167.124/api-fee/,0.00000,0.22312,0.22313,3410114,1,0,0.22423,10000,10000,0.19800,0.21800,0.24300,0.26600,0.32900,0.43000,0.45400,10000
