label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://35.247.218.115/orden,0.22158,0.44240,0.44240,3410059,1,0,0.45368,10000,10000,0.39500,0.41900,0.48200,0.52700,1.06200,1.46200,1.54700,10000
http://35.247.218.115/billing,0.00000,0.22116,0.22117,3090013,1,0,0.23008,10000,10000,0.19700,0.20900,0.24000,0.26500,0.39200,1.17700,1.43800,10000
http://35.247.218.115/client,0.00009,0.22308,0.22308,3410018,1,0,0.23393,10000,10000,0.19700,0.20900,0.24100,0.27300,0.52000,1.06800,1.11100,10000
,0.05555,0.27737,0.27738,13320098,1,0,0.30309,40000,40000,0.19700,0.21300,0.42500,0.45400,0.64500,1.43500,1.54700,40000
http://35.247.218.115/fee,0.00052,0.22286,0.22287,3410008,1,0,0.23217,10000,10000,0.19700,0.20900,0.24300,0.27300,0.48300,1.00400,1.08000,10000
