label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://35.247.218.115/orden,0.22793,0.46055,0.46056,3410195,3,0,0.48212,10000,10000,0.39500,0.42600,0.50500,0.56100,1.42100,1.62900,2.11800,10000
,0.05726,0.28777,0.28778,13320736,1,0,0.32095,40000,40000,0.19700,0.21800,0.43700,0.47300,0.88800,1.44800,2.11800,40000
http://35.247.218.115/billing,0.00009,0.23026,0.23026,3090164,1,0,0.24633,10000,10000,0.19800,0.21200,0.24800,0.29000,0.84600,1.16400,1.51100,10000
http://35.247.218.115/client,0.00019,0.23001,0.23002,3410132,1,0,0.24521,10000,10000,0.19700,0.21200,0.24900,0.29600,0.84600,1.13400,1.52300,10000
http://35.247.218.115/fee,0.00085,0.23027,0.23028,3410245,1,0,0.24229,10000,10000,0.19700,0.21200,0.25300,0.30600,0.69800,0.96400,1.06200,10000
