label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://34.95.136.252/api-order/,0.29222,0.58896,0.58897,3410299,1,0,0.66403,10000,10000,0.39600,0.46200,0.89600,1.27000,1.81700,2.99000,4.20400,10000
,0.08191,0.37598,0.37599,13320807,1,0,0.46803,40000,40000,0.19700,0.24800,0.63000,0.89000,1.48500,2.99200,4.20400,40000
http://34.95.136.252/api-billing/,0.00247,0.29824,0.29824,3090124,1,0,0.36077,10000,10000,0.19800,0.22800,0.46100,0.62800,1.15200,2.35400,3.51800,10000
http://34.95.136.252/api-client/,0.01264,0.30486,0.30487,3410149,1,0,0.38292,10000,10000,0.19800,0.22800,0.46100,0.71200,1.24100,3.01000,4.16800,10000
http://34.95.136.252/api-fee/,0.02032,0.31186,0.31187,3410235,1,0,0.39796,10000,10000,0.19700,0.22800,0.49100,0.75100,1.25400,3.05400,4.16800,10000
