label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200,rc_HttpHostConnectException
http://34.95.136.252/api-order/,2.90659,2.67921,3.16189,6807629,297,72,11.37828,19384,19456,0.39500,0.49500,3.58200,7.80400,64.48000,130.94400,131.07200,19384,72
,1.05852,1.07543,1.31175,25887619,297,139,7.30215,76592,76731,0.19700,0.23800,1.45800,3.47400,31.90400,130.30400,131.20000,76592,139
http://34.95.136.252/api-billing/,0.79382,0.74876,1.04832,6035084,295,44,7.27655,19140,19184,0.19800,0.22700,0.56400,2.01900,15.84000,131.07200,131.20000,19140,44
http://34.95.136.252/api-client/,0.28219,0.44000,0.53533,6539988,323,14,4.22077,19065,19079,0.19700,0.22300,0.36800,0.61100,3.55200,65.24800,131.07200,19065,14
http://34.95.136.252/api-fee/,0.21345,0.40149,0.46336,6504918,324,9,3.37601,19003,19012,0.19700,0.22300,0.34300,0.58400,3.49800,32.04800,131.07200,19003,9
