label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://35.198.59.0/orden,0.23534,0.46908,0.46908,3410049,1,0,0.51103,10000,10000,0.39500,0.41800,0.50800,0.70200,1.46900,2.47600,2.71200,10000
,0.06071,0.29168,0.29169,13320246,1,0,0.33958,40000,40000,0.19700,0.21200,0.42600,0.47600,1.06600,1.80400,2.71200,40000
http://35.198.59.0/billing,0.00084,0.23632,0.23632,3090059,1,0,0.26924,10000,10000,0.19800,0.20900,0.24200,0.32300,0.96900,1.50300,1.78700,10000
http://35.198.59.0/client,0.00222,0.22901,0.22901,3410077,1,0,0.24906,10000,10000,0.19700,0.20900,0.23700,0.30100,0.87100,1.20400,1.66200,10000
http://35.198.59.0/fee,0.00443,0.23234,0.23235,3410061,1,0,0.25592,10000,10000,0.19700,0.20900,0.24300,0.33600,0.83200,1.44500,1.80100,10000
