label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://34.95.153.71//orden,0.26301,0.52787,0.52788,3410133,3,0,0.57753,10000,10000,0.40000,0.45100,0.67600,0.89900,1.67100,2.43200,3.48800,10000
,0.06927,0.33196,0.33197,13320375,1,0,0.39290,40000,40000,0.19900,0.23200,0.49400,0.64800,1.40400,1.98100,3.48800,40000
http://34.95.153.71//billing,0.00195,0.26438,0.26439,3090070,2,0,0.30190,10000,10000,0.20000,0.22400,0.32700,0.44000,1.08100,1.61500,1.91500,10000
http://34.95.153.71//client,0.00468,0.26533,0.26534,3410070,2,0,0.30457,10000,10000,0.19900,0.22300,0.33100,0.45200,1.00600,1.66000,2.02700,10000
http://34.95.153.71//fee,0.00743,0.27025,0.27026,3410102,1,0,0.31611,10000,10000,0.19900,0.22400,0.34400,0.47100,1.14900,1.91900,2.18000,10000
