label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://34.95.136.252/orden,0.21113,0.42594,0.42595,3410119,1,0,0.43092,10000,10000,0.39400,0.41400,0.43200,0.47200,0.72700,1.45600,2.02100,10000
,0.05294,0.26723,0.26724,13320377,1,0,0.28806,40000,40000,0.19700,0.20900,0.41700,0.42300,0.54300,1.10100,3.22000,40000
http://34.95.136.252/billing,0.00003,0.21387,0.21388,3090079,1,0,0.21784,10000,10000,0.19700,0.20700,0.21600,0.23200,0.39000,0.88400,1.41300,10000
http://34.95.136.252/client,0.00023,0.21392,0.21393,3410091,1,0,0.22162,10000,10000,0.19700,0.20700,0.21600,0.22900,0.37600,0.81400,3.22000,10000
http://34.95.136.252/fee,0.00037,0.21518,0.21519,3410088,1,0,0.22266,10000,10000,0.19700,0.20700,0.21600,0.23600,0.39400,1.39400,1.60600,10000
