label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://68.183.248.193/api-order/,0.17708,0.37047,0.37048,3412594,2,0,0.37718,10000,10000,0.31000,0.35300,0.41900,0.44800,0.56800,1.38200,1.39600,10000
http://68.183.248.193/api-billing/,0.00000,0.18736,0.18737,3092072,1,0,0.18945,10000,10000,0.15500,0.17800,0.21900,0.24100,0.32000,0.40900,0.41900,10000
,0.04427,0.23331,0.23331,13328920,1,0,0.25010,40000,40000,0.15500,0.18600,0.36200,0.39100,0.46300,0.83300,1.39600,40000
http://68.183.248.193/api-client/,0.00000,0.18770,0.18771,3412104,1,0,0.18978,10000,10000,0.15600,0.17800,0.22200,0.24200,0.30900,0.40700,0.41800,10000
http://68.183.248.193/api-fee/,0.00000,0.18770,0.18770,3412150,1,0,0.18970,10000,10000,0.15500,0.17900,0.21900,0.24300,0.31600,0.37000,0.41900,10000
