label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://35.247.218.115/orden,0.21473,0.43114,0.43114,3410027,3,0,0.43371,10000,10000,0.40500,0.42500,0.44400,0.45700,0.52000,1.42400,1.46200,10000
http://35.247.218.115/billing,0.00000,0.21503,0.21504,3090010,2,0,0.21590,10000,10000,0.20200,0.21300,0.22300,0.23000,0.25900,0.37200,0.92600,10000
http://35.247.218.115/client,0.00000,0.21447,0.21448,3410018,1,0,0.21489,10000,10000,0.20200,0.21200,0.22300,0.22900,0.25500,0.33800,0.86400,10000
http://35.247.218.115/fee,0.00000,0.21454,0.21455,3410013,1,0,0.21500,10000,10000,0.20200,0.21200,0.22300,0.23000,0.25500,0.34800,0.86500,10000
,0.05368,0.26879,0.26880,13320068,1,0,0.28600,40000,40000,0.20200,0.21500,0.42800,0.43600,0.46200,0.88800,1.46200,40000
