labelId,labelName,samples,avgResponseTime,90line,95line,99line,minResponseTime,maxResponseTime,avgLatency,stDev,duration,avgBytes,avgThroughput,medianResponseTime,errorsCount,errorsRate,hasLabelPassedThresholds
ALL,ALL,40000,268,428,436,462,202,1462,268,286,136,95.646,294.118,0,0,0,
b21b4b41374e02b0dc2e98f304fc3208,http://35.247.218.115/billing,10000,215,223,230,259,202,926,215,215,136,22.188,73.529,0,0,0,
b8e037e268ea1b459868817a4553bcac,http://35.247.218.115/client,10000,214,223,229,255,202,864,214,214,136,24.486,73.529,0,0,0,
928973d5696db5329681f1aac0e26562,http://35.247.218.115/fee,10000,214,223,230,255,202,865,214,214,136,24.486,73.529,0,0,0,
793c2a552bf18aafbb4a44a6d1f44871,http://35.247.218.115/orden,10000,431,444,457,520,405,1462,431,433,136,24.486,73.529,0,0,0,
