label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
http://35.198.59.0/api-order/,0.21922,0.43854,0.43855,3410072,2,0,0.44639,10000,10000,0.39400,0.42900,0.45400,0.47500,0.61800,1.45700,2.49200,10000
,0.05485,0.27349,0.27350,13320080,1,0,0.29500,40000,40000,0.19700,0.21900,0.43500,0.44300,0.50600,1.41000,2.49200,40000
http://35.198.59.0/api-billing/,0.00002,0.21897,0.21897,3090002,1,0,0.22375,10000,10000,0.19700,0.21500,0.22700,0.23700,0.28500,0.91900,1.60200,10000
http://35.198.59.0/api-client/,0.00002,0.21799,0.21799,3410001,1,0,0.22154,10000,10000,0.19700,0.21400,0.22600,0.23600,0.28300,0.86500,1.03900,10000
http://35.198.59.0/api-fee/,0.00015,0.21848,0.21849,3410005,1,0,0.22278,10000,10000,0.19700,0.21500,0.22700,0.23800,0.28300,0.84100,1.41000,10000
